"Geo_FIPS","Geo_GEOID","Geo_NAME","Geo_QName","Geo_STUSAB","Geo_SUMLEV","Geo_GEOCOMP","Geo_FILEID","Geo_LOGRECNO","Geo_US","Geo_REGION","Geo_DIVISION","Geo_STATECE","Geo_STATE","Geo_COUNTY","Geo_COUSUB","Geo_PLACE","Geo_PLACESE","Geo_TRACT","Geo_BLKGRP","avg.hh.size","coc.population","total.population","elderly.population","households","limited.english.households","poverty.population","pop.poverty.determined","single.parent.fam","families","youth.population","occupied.housing.units","zero.vehicle.hh","coc.population.pct","elderly.population.pct","limited.english.households.pct","poverty.population.pct","single.parent.fam.pct","youth.population.pct","zero.vehicle.hh.pct","coc.pop.norm","elderly.pop.norm","limited.english.households.norm","poverty.population.norm","single.parent.fam.norm","youth.population.norm","zero.vehicle.hh.norm"
60014001001,"15000US060014001001","Block Group 1, Census Tract 4001, Alameda County, California","Block Group 1, Census Tract 4001, Alameda County, California","ca",150,0,"ACSSF",10755,NA,NA,NA,NA,6,1,NA,NA,NA,400100,1,1254,921,2991,287,1254,46,286,2982,26,889,244,1254,17,0.307923771313942,0.095954530257439,0.0366826156299841,0.0959087860496311,0.0292463442069741,0.0815780675359412,0.0135566188197767,0.307923771313942,0.245278583107632,0.0428063910706688,0.100781749775017,0.0356334768498765,0.232790452388473,0.0176623376623377
60014002001,"15000US060014002001","Block Group 1, Census Tract 4002, Alameda County, California","Block Group 1, Census Tract 4002, Alameda County, California","ca",150,0,"ACSSF",10756,NA,NA,NA,NA,6,1,NA,NA,NA,400200,1,442,325,1102,71,442,0,87,1102,43,304,147,442,26,0.29491833030853,0.0644283121597096,0,0.0789473684210526,0.141447368421053,0.133393829401089,0.0588235294117647,0.29491833030853,0.164691391601333,0,0.0829585511121916,0.172338173018754,0.380651452406975,0.0766386554621849
60014002002,"15000US060014002002","Block Group 2, Census Tract 4002, Alameda County, California","Block Group 2, Census Tract 4002, Alameda County, California","ca",150,0,"ACSSF",10757,NA,NA,NA,NA,6,1,NA,NA,NA,400200,2,386,248,895,49,386,0,146,891,7,179,32,386,38,0.277094972067039,0.0547486033519553,0,0.163860830527497,0.0391061452513966,0.0357541899441341,0.0984455958549223,0.277094972067039,0.139948159000531,0,0.172186323071619,0.0476465677775637,0.102027840365443,0.128260547742413
60014003001,"15000US060014003001","Block Group 1, Census Tract 4003, Alameda County, California","Block Group 1, Census Tract 4003, Alameda County, California","ca",150,0,"ACSSF",10758,NA,NA,NA,NA,6,1,NA,NA,NA,400300,1,471,434,1336,0,471,18,50,1336,18,283,218,471,42,0.324850299401198,0,0.0382165605095541,0.0374251497005988,0.0636042402826855,0.163173652694611,0.089171974522293,0.324850299401198,0,0.044596411854848,0.0393266584613683,0.0774948214938467,0.465630892910312,0.116178343949045
60014003002,"15000US060014003002","Block Group 2, Census Tract 4003, Alameda County, California","Block Group 2, Census Tract 4003, Alameda County, California","ca",150,0,"ACSSF",10759,NA,NA,NA,NA,6,1,NA,NA,NA,400300,2,751,427,1369,67,751,0,211,1332,0,234,96,751,87,0.31190650109569,0.0489408327246165,0,0.158408408408408,0,0.0701241782322863,0.115845539280959,0.31190650109569,0.125102359154855,0,0.166456872576965,0,0.200105735121414,0.150930188320335
60014003003,"15000US060014003003","Block Group 3, Census Tract 4003, Alameda County, California","Block Group 3, Census Tract 4003, Alameda County, California","ca",150,0,"ACSSF",10760,NA,NA,NA,NA,6,1,NA,NA,NA,400300,3,564,426,1041,115,564,157,176,1041,0,208,61,564,164,0.409221902017291,0.110470701248799,0.278368794326241,0.169068203650336,0,0.058597502401537,0.290780141843972,0.409221902017291,0.282384760829063,0.324839525948625,0.177658274043656,0,0.167213314864054,0.378844984802432
60014003004,"15000US060014003004","Block Group 4, Census Tract 4003, Alameda County, California","Block Group 4, Census Tract 4003, Alameda County, California","ca",150,0,"ACSSF",10761,NA,NA,NA,NA,6,1,NA,NA,NA,400300,4,672,405,1377,76,672,42,224,1377,53,394,110,672,100,0.294117647058824,0.0551924473493101,0.0625,0.162672476397967,0.134517766497462,0.0798838053740015,0.148809523809524,0.294117647058824,0.141082711235845,0.0729337152209493,0.170937590672228,0.163895209755528,0.227955720860065,0.193877551020408
60014004001,"15000US060014004001","Block Group 1, Census Tract 4004, Alameda County, California","Block Group 1, Census Tract 4004, Alameda County, California","ca",150,0,"ACSSF",10762,NA,NA,NA,NA,6,1,NA,NA,NA,400400,1,728,366,1510,72,728,0,361,1510,51,294,89,728,26,0.242384105960265,0.047682119205298,0,0.239072847682119,0.173469387755102,0.0589403973509934,0.0357142857142857,0.242384105960265,0.121884840735157,0,0.251219736017007,0.211353506920009,0.168191796860708,0.046530612244898
60014004002,"15000US060014004002","Block Group 2, Census Tract 4004, Alameda County, California","Block Group 2, Census Tract 4004, Alameda County, California","ca",150,0,"ACSSF",10763,NA,NA,NA,NA,6,1,NA,NA,NA,400400,2,522,410,1071,42,522,17,219,1066,27,223,104,522,77,0.3828197945845,0.0392156862745098,0.0325670498084291,0.205440900562852,0.121076233183857,0.0971055088702148,0.147509578544061,0.3828197945845,0.100242979035995,0.038003774981031,0.215879006365121,0.147518169166538,0.277099421720806,0.192183908045977
60014004003,"15000US060014004003","Block Group 3, Census Tract 4004, Alameda County, California","Block Group 3, Census Tract 4004, Alameda County, California","ca",150,0,"ACSSF",10764,NA,NA,NA,NA,6,1,NA,NA,NA,400400,3,536,590,1410,55,536,24,214,1403,60,288,239,536,60,0.418439716312057,0.0390070921985816,0.0447761194029851,0.152530292230934,0.208333333333333,0.169503546099291,0.111940298507463,0.418439716312057,0.099709771700697,0.0522510198597845,0.160280099226501,0.253831417624521,0.483693820775048,0.145842217484009
